"","time","S","I","R","C","V6"
"1",0,0.9999,1e-04,0,0,0.231049060186648
"2",1,0.999875482065481,0.000112257582271536,1.22603522476296e-05,2.4517934519166e-05,0.231049060186648
"3",2,0.999847960180383,0.00012601661086606,2.60232087510395e-05,5.20398196170996e-05,0.231049060186648
"4",3,0.999817066323554,0.000141460938058484,4.14727383872835e-05,8.29336764457679e-05,0.231049060186648
"5",4,0.999782442356487,0.000158769457985117,5.87881855283787e-05,0.000117557643513495,0.231049060186648
"6",5,0.999743563929481,0.000178204060704817,7.82320098143005e-05,0.000156436070519118,0.231049060186648
"7",6,0.999699927972558,0.000200015963116101,0.000100056064326059,0.00020007202744216,0.231049060186648
"8",7,0.999650953974645,0.000224495007776731,0.000124551017578203,0.000249046025354934,0.231049060186648
"9",8,0.999595989431642,0.000251966922183961,0.000152043646174202,0.000304010568358163,0.231049060186648
"10",9,0.999534302779857,0.000282796823169773,0.00018290039697337,0.000365697220143143,0.231049060186648
"11",10,0.999465073401709,0.000317394176956048,0.000217532421334741,0.000434926598290789,0.231049060186648
"12",11,0.999387380880154,0.000356218125330975,0.00025640099451507,0.000512619119846045,0.231049060186648
"13",12,0.999300200386516,0.00039977975165848,0.000300019861825783,0.000599799613484263,0.231049060186648
"14",13,0.999202366903355,0.000448659840087031,0.000348973256557812,0.000697633096644844,0.231049060186648
"15",14,0.999092583168561,0.000503504867735154,0.000403911963703984,0.000807416831439138,0.231049060186648
"16",15,0.998969395434425,0.000565038987909926,0.000465565577665791,0.000930604565575717,0.231049060186648
"17",16,0.998831172913313,0.000634074157152389,0.000534752929534453,0.00106882708668684,0.231049060186648
"18",17,0.998676088075735,0.000711519802655141,0.000612392121609979,0.00122391192426512,0.231049060186648
"19",18,0.99850209319976,0.000798394313933126,0.000699512486307545,0.00139790680024067,0.231049060186648
"20",19,0.998306894308392,0.000895837780426889,0.000797267911181475,0.00159310569160836,0.231049060186648
"21",20,0.998087922198981,0.00100512610769503,0.000906951693323867,0.0018120778010189,0.231049060186648
"22",21,0.997842300210912,0.0011276866698296,0.00103001311925842,0.00205769978908802,0.231049060186648
"23",22,0.99756680842616,0.00126511562682951,0.00116807594701056,0.00233319157384007,0.231049060186648
"24",23,0.997257843960365,0.00141919704813786,0.00132295899149756,0.00264215603963541,0.231049060186648
"25",24,0.996911376984839,0.00159192398473401,0.00149669903042698,0.00298862301516099,0.231049060186648
"26",25,0.996522902106497,0.0017855216296789,0.00169157626382411,0.00337709789350301,0.231049060186648
"27",26,0.99608738472362,0.00200247270013846,0.00191014257624184,0.0038126152763803,0.231049060186648
"28",27,0.995599204026543,0.00224554419766325,0.0021552517757942,0.00430079597345745,0.231049060186648
"29",28,0.995052082704735,0.00251782013247593,0.00243009716278973,0.00484791729526566,0.231049060186648
"30",29,0.994439019802093,0.00282273240044337,0.0027382477974643,0.00546098019790767,0.231049060186648
"31",30,0.993752214516304,0.0031640953894001,0.00308369009429626,0.00614778548369636,0.231049060186648
"32",31,0.992982979937136,0.00354614467030845,0.00347087539255612,0.00691702006286457,0.231049060186648
"33",32,0.992121652617947,0.00397357676294839,0.00390477061910468,0.00777834738205307,0.231049060186648
"34",33,0.991157494967084,0.00445159115408562,0.00439091387883014,0.00874250503291576,0.231049060186648
"35",34,0.9900785907947,0.00498593409814403,0.00493547510715663,0.00982140920530066,0.231049060186648
"36",35,0.98887173470845,0.00558294348167391,0.00554532180987652,0.0110282652915504,0.231049060186648
"210",36,0.987531808240135,0.00624012945917358,0.00622806230069179,0.0123681917598654,0.227954653130577
"310",37,0.986059136063038,0.00695112142296842,0.00698974251399368,0.0138408639369621,0.224860246074506
"410",38,0.984446490701947,0.00771682372318795,0.00783668557486532,0.0154535092980533,0.221765839018435
"58",39,0.982687493115447,0.00853756942222106,0.00877493746233229,0.0172125068845534,0.218671431962364
"61",40,0.980775543746876,0.00941317000468552,0.00981128624843903,0.0191244562531246,0.215577024906293
"71",41,0.978705408269221,0.0103426807500554,0.0109519109807237,0.0211945917307791,0.212482617850221
"81",42,0.976472579638873,0.0113244626409076,0.0122029577202196,0.0234274203611272,0.20938821079415
"91",43,0.974073602669044,0.0123560632109531,0.0135703341200037,0.0258263973309568,0.206293803738079
"101",44,0.971506224478104,0.0134341706149116,0.0150596049069847,0.0283937755218963,0.203199396682008
"111",45,0.968769429689141,0.0145546557554858,0.0166759145553739,0.0311305703108596,0.200104989625937
"121",46,0.965863595119197,0.0157125252049102,0.0184238796758936,0.0340364048808038,0.197010582569865
"131",47,0.96279058087711,0.0169019300905178,0.0203074890323723,0.0371094191228901,0.193916175513794
"141",48,0.959553793014007,0.0181161988021741,0.0223300081838195,0.0403462069859937,0.190821768457723
"151",49,0.956158226919166,0.0193478863883582,0.0244938866924758,0.043741773080834,0.187727361401652
"161",50,0.952610482415454,0.0205888449345977,0.026800672649949,0.0472895175845467,0.184632954345581
"171",51,0.948918749323326,0.0218303141487438,0.0292509365279307,0.0509812506766745,0.18153854728951
"181",52,0.945092762568111,0.0230630308549445,0.0318442065769446,0.0548072374318891,0.178444140233438
"191",53,0.941143726736098,0.0242773553852673,0.0345789178786344,0.0587562732639017,0.175349733177367
"201",54,0.937084211023607,0.0254634121295137,0.0374523768468794,0.0628157889763931,0.172255326121296
"211",55,0.932928016489841,0.0266112408852322,0.0404607426249271,0.0669719835101592,0.169160919065225
"221",56,0.928690018440695,0.0277109551514965,0.0435990264078087,0.0712099815593052,0.166066512009154
"231",57,0.924385987582669,0.0287529031652187,0.0468611092521123,0.075514012417331,0.162972104953082
"241",58,0.920032394252258,0.029727827309449,0.0502397784382934,0.0798676057477423,0.159877697897011
"251",59,0.915646200515122,0.0306270175399559,0.0537267819449226,0.0842537994848785,0.15678329084094
"261",60,0.911244645220394,0.0314424546784111,0.057312900101195,0.0886553547796061,0.153688883784869
"271",61,0.906845027235111,0.0321669397664059,0.0609880329984831,0.093054972764889,0.150594476728798
"281",62,0.902464494178731,0.0327942052132087,0.0647413006080602,0.0974355058212689,0.147500069672726
"291",63,0.898119834195003,0.0333190086076046,0.0685611571973926,0.101780165804997,0.144405662616655
"301",64,0.893827274927706,0.0337372068638988,0.0724355182083955,0.106072725072294,0.141311255560584
"311",65,0.889602317293559,0.0340457984872476,0.0763518842191933,0.110297682706441,0.138216848504513
"321",66,0.885459575687609,0.0342429492310121,0.0802974750813794,0.114440424312391,0.135122441448442
"331",67,0.88141263687674,0.0343279960747116,0.0842593670485483,0.11848736312326,0.132028034392371
"341",68,0.877473946277881,0.0343014270730354,0.0882246266490835,0.122426053722119,0.128933627336299
"351",69,0.873654717027304,0.034164841524472,0.0921804414482242,0.126245282972696,0.125839220280228
"361",70,0.869964862575136,0.0339208921687262,0.0961142452561376,0.129935137424864,0.122744813224157
"37",71,0.866412952521914,0.0335732117560092,0.100013835722077,0.133487047478086,0.119650406168086
"38",72,0.863006190698791,0.0331263266316546,0.103867482669555,0.136893809301209,0.116555999112015
"39",73,0.859750414072309,0.0325855600965928,0.107664025831099,0.140149585927692,0.113461592055943
"40",74,0.856650110726315,0.0319569283118836,0.111392960961801,0.143249889273685,0.110367184999872
"41",75,0.853708454938633,0.0312470314347327,0.115044513626634,0.146191545061367,0.107272777943801
"42",76,0.850927357223032,0.0304629425182367,0.118609700258732,0.148972642776968,0.10417837088773
"43",77,0.848307527138611,0.0296120964948212,0.122080376366568,0.151592472861389,0.101083963831659
"44",78,0.84584854666746,0.0287021813108467,0.125449272021694,0.15405145333254,0.0979895567755875
"45",79,0.843548952015431,0.0277410330028688,0.128710014981701,0.15635104798457,0.0948951497195163
"46",80,0.841406321788118,0.0267365362185164,0.131857141993366,0.158493678211882,0.0918007426634452
"47",81,0.83941736962342,0.0256965313986349,0.134886098977945,0.16048263037658,0.088706335607374
"48",82,0.837578039513299,0.0246287295616108,0.137793230925091,0.162321960486702,0.0856119285513028
"49",83,0.835883602211908,0.0235406353726571,0.140575762415435,0.164016397788092,0.0825175214952316
"50",84,0.834328751297972,0.022439478945091,0.143231769756937,0.165571248702028,0.0794231144391604
"51",85,0.832907697630591,0.0213321566101088,0.1457601457593,0.166992302369409,0.0763287073830892
"52",86,0.831614261105336,0.0202251807074494,0.148160558187214,0.168285738894664,0.0732343003270181
"53",87,0.830441958778627,0.0191246382915132,0.15043340292986,0.169458041221373,0.0701398932709469
"54",88,0.829384088581086,0.0180361585148826,0.152579752904032,0.170515911418914,0.0670454862148757
"55",89,0.828433807983772,0.0169648883420031,0.154601303674225,0.171466192016228,0.0639510791588045
"56",90,0.827584207114463,0.0159154761578971,0.15650031672764,0.172315792885537,0.0608566721027333
"57",91,0.826827350687799,0.0148930473986142,0.158279601913587,0.173072649312201,0.0577622650466621
"212",92,0.823877092605665,0.0160559687743023,0.160066938620033,0.176022907394335,0.231049060186648
"312",93,0.82070933712869,0.0172974699294916,0.161993192941818,0.17919066287131,0.231049060186648
"411",94,0.817312412490429,0.0186206069974401,0.164066980512131,0.182587587509571,0.231049060186648
"510",95,0.813672707779265,0.0200287038633085,0.166298588357427,0.186227292220735,0.231049060186648
"610",96,0.809777485373687,0.0215245590426457,0.168697955583668,0.190122514626313,0.231049060186648
"710",97,0.805614073526147,0.0231106101912884,0.171275316282565,0.194285926473854,0.231049060186648
"810",98,0.801169903173533,0.0247888964178668,0.1740412004086,0.198730096826467,0.231049060186648
"910",99,0.79643275273729,0.0265608789646814,0.177006368298029,0.20346724726271,0.231049060186648
"1010",100,0.791390902111516,0.0284273969254212,0.180181700963062,0.208509097888484,0.231049060186648
"1110",101,0.786033311490729,0.0303885564341705,0.183578132075101,0.213866688509271,0.231049060186648
"1210",102,0.78034982920743,0.0324436106601486,0.187206560132421,0.21955017079257,0.231049060186648
"1310",103,0.774331404453672,0.0345908521920517,0.191077743354276,0.225568595546327,0.231049060186648
"1410",104,0.7679703123113,0.0368275055585057,0.195202182130195,0.2319296876887,0.231049060186648
"1510",105,0.761260386004509,0.0391496244602785,0.199589989535212,0.238639613995491,0.231049060186648
"1610",106,0.754197251182681,0.0415519982428997,0.204250750574419,0.245702748817319,0.231049060186648
"1710",107,0.746778556777329,0.0440280718749969,0.209193371347674,0.253121443222671,0.231049060186648
"1810",108,0.739004190597494,0.0465698852923235,0.214425924110182,0.260895809402506,0.231049060186648
"1910",109,0.730876497236452,0.0491680307227639,0.219955472040784,0.269023502763548,0.231049060186648
"2010",110,0.722400450539958,0.0518116431946351,0.225787906265407,0.277499549460042,0.231049060186648
"213",111,0.71358379422104,0.0544884226369175,0.231927783142042,0.28631620577896,0.231049060186648
"222",112,0.704437154572602,0.057184688013985,0.238378157413413,0.295462845427398,0.231049060186648
"232",113,0.694974101369583,0.0598854711881686,0.245140427442248,0.304925898630417,0.231049060186648
"242",114,0.685211154899937,0.0625746508229556,0.252214194277108,0.314688845100063,0.231049060186648
"252",115,0.675167735882071,0.0652351260066629,0.259597138111267,0.324732264117929,0.231049060186648
"262",116,0.66486605488035,0.0678490281200951,0.267284916999554,0.33503394511965,0.231049060186648
"272",117,0.654330940299509,0.0703979675922983,0.275271092108193,0.345569059700491,0.231049060186648
"282",118,0.643589606383931,0.0728633103701789,0.283547083245891,0.356310393616069,0.231049060186648
"292",119,0.632671365036658,0.0752264772357302,0.292102157727612,0.367228634963342,0.231049060186648
"302",120,0.621607287616066,0.0774692576419089,0.300923454742025,0.378292712383934,0.231049060186648
"313",121,0.610429825017177,0.0795741286198861,0.309996046362937,0.389470174982823,0.231049060186648
"322",122,0.599172396155157,0.0815245686348954,0.319303035209948,0.400727603844843,0.231049060186648
"332",123,0.587868956317035,0.0833053561035016,0.328825687579464,0.412031043682965,0.231049060186648
"342",124,0.576553557642041,0.0849028426626343,0.338543599695325,0.423346442357959,0.231049060186648
"352",125,0.565259914180023,0.0863051921889256,0.348434893631051,0.434640085819977,0.231049060186648
"362",126,0.554020983555857,0.087502577952524,0.358476438491619,0.445879016444143,0.231049060186648
"371",127,0.542868576275904,0.0884873320620096,0.368644091662087,0.457031423724096,0.231049060186648
"381",128,0.531833002231679,0.0892540433970656,0.378912954371255,0.468066997768321,0.231049060186648
"391",129,0.520942762099073,0.0897996023968758,0.389257635504051,0.478957237900927,0.231049060186648
"401",130,0.510224289232115,0.0901231932344552,0.399652517533429,0.489675710767885,0.231049060186648
"412",131,0.499701745448843,0.0902262359285504,0.410072018622607,0.500198254551157,0.231049060186648
"421",132,0.489396871938582,0.0901122827131591,0.420490845348259,0.510503128061418,0.231049060186648
"431",133,0.479328894503959,0.0897868744154234,0.430884231080617,0.520571105496041,0.231049060186648
"441",134,0.469514480582338,0.089257363632918,0.441228155784744,0.530385519417662,0.231049060186648
"451",135,0.459967744036684,0.0885327121311736,0.451499543832142,0.539932255963316,0.231049060186648
"461",136,0.450700292601916,0.0876232701119891,0.461676437286095,0.549199707398084,0.231049060186648
"471",137,0.441721312128199,0.0865405448683405,0.471738143003461,0.558178687871802,0.231049060186648
"481",138,0.433037681362136,0.0852969658970153,0.481665352740849,0.566862318637864,0.231049060186648
"491",139,0.42465411091605,0.0839056528516997,0.49144023623225,0.57524588908395,0.231049060186648
"501",140,0.416573300247785,0.0823801918581126,0.501046507894102,0.583326699752215,0.231049060186648
"511",141,0.40879610685467,0.0807344247487121,0.510469468396618,0.59110389314533,0.231049060186648
"521",142,0.401321722419867,0.0789822547712669,0.519696022808866,0.598578277580133,0.231049060186648
"531",143,0.394147851284022,0.0771374713377446,0.528714677378233,0.605752148715978,0.231049060186648
"541",144,0.387270887302028,0.0752135954509518,0.537515517247021,0.612629112697972,0.231049060186648
"551",145,0.38068608584342,0.0732237466079568,0.546090167548623,0.61921391415658,0.231049060186648
"561",146,0.374387728372947,0.0711805312520921,0.554431740374961,0.625512271627053,0.231049060186648
"571",147,0.368369277681281,0.0690959522398048,0.562534770078914,0.631530722318718,0.231049060186648
"581",148,0.362623522408226,0.0669813383068934,0.57039513928488,0.637276477591773,0.231049060186648
"59",149,0.357142710002548,0.064847292156236,0.578009997841216,0.642757289997452,0.231049060186648
